상권배후지코드,2030 생활인구 1월,2030 생활인구 2월,2030 생활인구 3월,2030 생활인구 4월,2030 생활인구 5월,2030 생활인구 6월,2030 생활인구 7월,2030 생활인구 8월,2030 생활인구 9월,2030 생활인구 10월,2030 생활인구 11월,2030 생활인구 12월
3110016,1968.7100854420266,1707.3879620910404,1488.047872086941,2190.3691646421667,2601.389876525006,3211.9674388632216,3059.606969008701,3179.1908635035156,4175.201402932841,5169.939932433905,4613.710816195534,4751.8863566263935
3110017,271.4461349301001,258.2689524084109,236.70585263493948,431.2002776559149,543.7285954576921,643.482580996986,531.097380434325,616.7011771355138,1052.3359762306698,1269.8498093682451,880.1641072597598,770.3410539486132
3110020,2521.1985803383413,2323.667554004028,1451.2548479320128,2358.4175606690774,1286.8960821523822,2096.480583136353,1784.7357057828822,2434.005839626272,3116.525817508849,2553.3111149693855,2408.015629508912,4114.080364343557
3110027,592.2638151305567,598.8900690846182,545.001443224586,701.0566751431287,728.6061882887165,666.6077914620624,571.3032068639998,595.6617481528273,834.294538274064,817.3095168279624,709.5478264172591,525.4654044534524
3110033,526.6644194694838,528.9767300541782,539.3273357777807,558.3536587995585,520.6347469655643,641.0486783983749,588.4968302898409,535.853204346107,703.8976566866053,769.5225609580662,735.8462574168573,378.8493793632812
3110039,321.64113933669233,283.3938407981469,320.22598783982477,727.6600770385313,686.0347909111659,552.3445007845324,452.8261490420551,463.7104907927551,700.0839522931504,749.2532408332902,560.7246787276441,284.1483196066702
3110050,507.4899994775534,692.0516935602271,1045.4022324537823,1958.6340249621305,1865.1097909740636,1703.5752390765203,1502.0474275571387,1469.551474460538,2055.2949585055026,1975.2197792008656,1541.3254079831308,521.5736568739381
3110068,4379.51639138315,4265.628441341806,3872.332224310477,4336.458740819822,4441.700279140861,4788.5505999887055,4632.340356829124,4482.753982908227,5147.036211112831,5124.893065652953,5043.014717550488,4045.6984311463284
3110091,3155.840171908309,3119.7630352084298,2755.588607493254,3383.7366926343198,4143.956921467177,3904.7951177306804,3942.1164150145514,3670.1459913932486,4014.1102990804534,3629.4801042141125,3473.7275505045054,3281.085731647325
3110104,47.70739918009822,53.15387582157446,47.16774904607125,54.45330196094839,44.460028369703856,44.24310609264085,42.77672746075236,4.1994226348665435,63.455913331396424,65.43679434333107,66.91778109440115,23.700421530616993
3110141,175.19525493095392,194.41310177286977,187.25186519065718,260.04782958109257,251.26620377833288,277.80186587817064,273.09433587757945,287.96627207232206,368.5923442517095,318.5841185861948,290.0117576942065,205.1100010889926
3110162,235.93870205923105,267.76901429915694,286.635558711518,273.07707563725484,291.8146220490765,342.51527220590475,318.0902157871639,271.6133325958787,375.76717380358303,309.0459873530674,301.80460481720576,224.56515124993777
3110166,1557.011214337809,1617.5000190736444,1560.310567374544,1676.962185571466,1749.2242972635822,2103.1731358112506,1893.0207441268587,1826.9690383094196,2087.478073627735,1928.9161446045923,1838.1038457747245,1497.2449995959157
3110180,515.171444827066,513.1310225517335,520.0584717939694,597.1849713544244,775.6552925582629,726.3258795351065,670.9449855499903,589.7096231132209,736.5307542655758,660.2812921835321,688.0680899373298,616.7237380292025
3110196,1191.485899967971,1166.201868454011,1060.530602113914,1268.4207167979664,1496.195658124246,1545.5489706060766,1463.5900716585584,1382.5337977671556,1661.0245302508315,1604.4386773875724,1582.4787535216005,1383.2626685889784
3110218,403.5793985446935,396.6261798292306,392.4914216661307,532.6566653292672,582.0924695684218,609.3568175172929,522.742988739235,521.4962452289493,670.6826198880676,653.4271755961753,617.2052483001111,431.3992433602115
3110228,102.30790923542605,97.09628450532936,87.35564508969254,103.58085833485333,145.6600516352736,140.78447501718756,139.52295258906574,117.43432037776267,139.79487866327867,127.34513943362275,99.70424197407873,118.95035721209038
3110284,1316.4743040581466,1309.5614023968158,1389.2572417498682,1351.9566688363507,1364.9102883761686,1544.7977691264423,1499.035654996781,1290.1391882294934,1518.557251698916,1505.0516544794964,1480.1516873928058,1256.334279501858
3110288,2623.288376722175,2315.924234224026,1792.2165352456511,2121.2985510025796,2620.3109727695173,2700.5855026899585,2775.6905429990293,2536.933936152217,2725.7852630471257,2650.5087968116113,2759.335579105195,2715.9270498242663
3110296,790.407613608818,755.658300647521,730.9975985649385,305.0228227656234,789.1275081538764,853.2687622160419,798.409268297532,884.8915821189283,1005.4246674287491,927.6374798336907,775.0893603069017,949.5907806996966
3110298,1194.9953281327334,1159.1922212792365,1097.5622081391566,1430.4568306173164,1632.8723496631033,1499.3672760730851,1494.5272346725162,1570.6591716222238,1783.5963648982192,1934.4292675191905,1708.3732400899319,1451.4004529250535
3110313,8016.949755500053,7402.491122387293,6316.755146366599,7976.5755849014095,8787.59805752541,9583.673044043322,9886.709313057565,8332.615669339695,9474.083533504925,9896.06308931577,9788.474586409455,8609.679205086963
3110314,1768.0033050970776,1719.058434319753,1668.6462208417367,1918.4674676241398,2347.575211929999,2216.5372713875686,2067.1460094977665,2054.9680595115633,2210.967377014243,1937.904517962963,1819.651640343642,1592.3845519216584
3110331,1500.7450520196576,1284.206000169386,1171.0311226939855,1400.0080133737645,1265.143118679433,155.50886506718697,134.31079811025623,114.38617971290829,525.5585230076312,930.1069518674944,1561.813247951002,1380.7817908456602
3110363,885.3447852686247,871.9898375001707,797.5971662734606,871.3615113775134,953.4354946145912,916.6852031625206,419.4759763523599,350.0310759743685,501.69981164142973,607.2655097253253,666.9232327802027,531.6502515325265
3110404,397.65724984436446,361.31928549929444,371.3922734145298,559.4144981107131,534.5132102642498,527.6399334384857,480.4935306842753,448.52596882196246,620.1215721714973,577.3336736819043,533.2626268940335,364.7414833657624
